time,no2,o3,pm10,pm25,month,day_of_week,is_weekend,pm10_roll_3,pm10_roll_7,no2_roll_3,no2_roll_7,o3_roll_3,o3_roll_7
2019-04-17 00:00:00+00:00,43.9125,69.12083333333334,19.340625,11.64722222222222,4,2,FALSE,19.31388888888889,23.745535714285715,38.93888888888889,33.06458333333334,77.29583333333333,83.49583333333335
2019-04-18 00:00:00+00:00,44.166666666666664,99.02499999999999,18.587500000000002,9.295833333333333,4,3,FALSE,16.720138888888894,21.489136904761903,41.675694444444446,36.52738095238096,84.14861111111111,86.28511904761906
2019-04-19 00:00:00+00:00,61.23333333333333,90.3125,26.287499999999998,16.165277777777778,4,4,FALSE,21.405208333333334,21.314285714285713,49.770833333333336,39.89523809523809,86.15277777777777,85.375
2019-04-20 00:00:00+00:00,41.69166666666667,109.075,22.36145833333333,13.612499999999999,4,5,TRUE,22.412152777777777,20.56235119047619,49.03055555555556,41.02886904761905,99.47083333333335,88.71845238095239
2019-04-21 00:00:00+00:00,33.889583333333334,90.50833333333333,19.70625,12.109722222222222,4,6,TRUE,22.785069444444446,20.697767857142857,45.60486111111111,42.54255952380952,96.63194444444446,88.68690476190476
2019-04-22 00:00:00+00:00,35.762499999999996,89.3625,23.791666666666668,11.35138888888889,4,0,FALSE,21.953125,20.329613095238095,37.114583333333336,42.51488095238095,96.31527777777778,90.24345238095238
2019-04-23 00:00:00+00:00,36.7,80.9375,27.016319444444445,12.077083333333334,4,1,FALSE,23.504745370370372,22.441617063492064,35.450694444444444,42.479464285714286,86.93611111111112,89.76309523809523
2019-04-24 00:00:00+00:00,17.091666666666665,97.0625,23.830555555555552,5.546527777777778,4,2,FALSE,24.87951388888889,23.083035714285717,29.85138888888889,38.64791666666667,89.12083333333334,93.7547619
2019-04-25 00:00:00+00:00,21.108333333333334,92.58749999999999,17.114583333333332,4.186111111111111,4,3,FALSE,22.653819444444448,22.872619047619047,24.96666666666667,35.35386904761905,90.19583333333333,92.83511904761905
2019-04-26 00:00:00+00:00,37.87916666666667,69.07083333333334,10.930555555555555,4.508333333333334,4,4,FALSE,17.291898148148146,20.678769841269844,25.35972222222222,32.017559523809524,86.24027777777776,89.80059523809526
2019-04-27 00:00:00+00:00,26.06458333333333,71.47916666666667,8.822916666666666,4.270833333333333,4,5,TRUE,12.289351851851853,18.74469246031746,28.350694444444443,29.785119047619048,77.71249999999999,84.4297619
2019-04-28 00:00:00+00:00,26.37708333333333,77.1125,10.867708333333333,6.055555555555556,4,6,TRUE,10.207060185185187,17.48204365079365,30.10694444444444,28.71190476190476,72.55416666666667,82.51607142857142
2019-04-29 00:00:00+00:00,25.491666666666664,75.26666666666667,9.023958333333333,4.8,4,0,FALSE,9.571527778,15.37237103174603,25.977777777777774,27.244642857142857,74.61944444444445,80.50238095238095
2019-04-30 00:00:00+00:00,26.887500000000003,84.5125,15.012847222222222,8.056944444444445,4,1,FALSE,11.634837962962964,13.657589285714284,26.25208333333333,25.842857142857138,78.96388888888889,81.01309523809525
2019-05-01 00:00:00+00:00,28.09583333333333,86.14166666666667,20.916666666666668,15.279166666666667,5,2,FALSE,14.984490740740744,13.241319444444443,26.825,27.41488095238095,81.97361111111111,79.45297619047619
